"2010 Voting Precincts
Population Totals",,,
"Rockbridge","163502","Meadowview",1432
"Rockbridge","163503","Rockbridge Baths",772
"Rockbridge","163504","Rockbridge",1316
"Rockingham","165101","Broadway",3587
"Rockingham","165102","Timberville",1922
"Rockingham","165103","Fulks Run",2608
"Rockingham","165104","Bergton",798
"Rockingham","165105","Lacey Spring",1644
"Rockingham","165106","Tenth Legion",1658
"Rockingham","165107","Plains",3662
"Rockingham","165201","Singers Glen",2015
"Rockingham","165202","Edom",1956
"Rockingham","165203","Melrose",3655
"Rockingham","165204","Mt. Clinton",2010
"Rockingham","165207","Ottobine",3936
"Rockingham","165301","Keezletown",1783
"Rockingham","165302","Port Republic",2412
"Rockingham","165303","North River",1788
"Rockingham","165304","Grottoes",2660
"Rockingham","165305","Massanetta Springs",7130
"Rockingham","165306","Cross Keys",1574
"Rockingham","165401","Bridgewater",5644
"Rockingham","165402","Montezuma",2612
"Rockingham","165403","Mt. Crawford",417
"Rockingham","165404","Dayton",1530
"Rockingham","165405","Silver Lake",4962
"Rockingham","165501","Elkton",2711
"Rockingham","165502","Swift Run",4304
"Rockingham","165503","McGaheysville",2708
"Rockingham","165504","South Fork",1678
"Rockingham","165505","Stony Run",2950
"Russell","167101","Moccasin",2349
"Russell","167102","Copper Creek",1830
"Russell","167103","South Castlewood",2166
"Russell","167201","North Castlewood",2957
"Russell","167202","Dante",1013
"Russell","167203","Cleveland",1552
"Russell","167301","Cooks Mill",683
"Russell","167302","Daughterty",219
"Russell","167303","Honaker",4054
"Russell","167401","Drill",327
"Russell","167402","Swords Creek",2793
"Russell","167403","Elk Garden",2424
"Russell","167501","East Lebanon",2926
"Russell","167502","West Lebanon",3604
"Scott","169101","Weber City",1844
"Scott","169102","Yuma",1974
"Scott","169202","Weber City East",1543
"Scott","169203","Hiltons",1917
"Scott","169204","Clark's",458
"Scott","169301","Nickelsville",1512
"Scott","169302","Snowflake",913
"Scott","169303","Twin Springs",1171
"Scott","169304","Copper Creek",365
"Scott","169401","Gate City",3404
"Scott","169501","Dungannon",978
"Scott","169502","Fort Blackmore",997
"Scott","169503","Manville",553
"Scott","169504","Rye Cove",1390
"Scott","169601","Clinchport",1114
"Scott","169602","Duffield-Pattonsville",2480
"Scott","169603","Fairview",564
"Shenandoah","171101","Orkney Springs",1152
"Shenandoah","171102","Forestville",1306
"Shenandoah","171103","New Market",4168
"Shenandoah","171201","Conicville",3137
"Shenandoah","171202","Mt. Jackson",3300
"Shenandoah","171301","Columbia Furnace",1503
"Shenandoah","171302","Edinburg",3075
"Shenandoah","171303","St. Luke",1785
"Shenandoah","171401","Woodstock",5958
"Shenandoah","171402","Fort Valley",1390
"Shenandoah","171501","Cedar Creek",190
"Shenandoah","171502","Mt. Olive",2178
"Shenandoah","171503","Toms Brook",2427
"Shenandoah","171504","Lebanon Church",1965
"Shenandoah","171601","Strasburg",6398
"Shenandoah","171602","Signal Knob",2061
"Smyth","173101","Saltville",4314
"Smyth","173201","Seven Mile Ford",2786
"Smyth","173202","Rich Valley",1607
"Smyth","173301","Chilhowie",3887
"Smyth","173302","St. Clair",924
"Smyth","173401","East Park",2600
"Smyth","173402","West Park",1843
"Smyth","173501","Atkins",2973
"Smyth","173502","Wassona",1865
"Smyth","173601","Royal Oak East",3396
"Smyth","173602","Royal Oak West",1259
"Smyth","173701","Adwolfe",2787
"Smyth","173702","Sugar Grove",1733
"Smyth","173703","Konnarock",234
"Southampton","175101","Berlin",1394
"Southampton","175102","Ivor",1590
"Southampton","175201","Boykins",1576
"Southampton","175202","Branchville",471
"Southampton","175203","Meherrin",327
"Southampton","175301","Capron",1721
"Southampton","175302","Sebrell",983
"Southampton","175401","Drewryville",2321
"Southampton","175501","Hunterdale",1909
"Southampton","175502","Forks-Of-The-River",857
"Southampton","175601","Courtland",2068
"Southampton","175602","Sedley",754
"Southampton","175701","Blackwater River",1261
"Southampton","175702","Newsoms",1338
"Spotsylvania","177101","Partlow",3724
"Spotsylvania","177102","Blaydes Corner",4247
"Spotsylvania","177103","Travelers Rest",3947
"Spotsylvania","177104","Massaponax",4519
"Spotsylvania","177201","Elys Ford",2824
"Spotsylvania","177202","Wilderness",3096
"Spotsylvania","177203","Ni River",5625
"Spotsylvania","177204","Chancellor",5154
"Spotsylvania","177301","Plank Road",5481
"Spotsylvania","177302","Hazel Run",6041
"Spotsylvania","177303","Grange Hall",3429
"Spotsylvania","177401","Summit",9766
"Spotsylvania","177402","Frazers Gate",5337
"Spotsylvania","177403","Lee Hill",5782
"Spotsylvania","177501","Belmont",3218
"Spotsylvania","177502","Brokenburg",4476
"Spotsylvania","177503","Todd's Tavern",1988
"Spotsylvania","177504","Courthouse",3337
"Spotsylvania","177505","Brock",4080
"Spotsylvania","177601","Salem",4025
"Spotsylvania","177602","Smith Station",10258
"Spotsylvania","177603","Piedmont",4817
"Spotsylvania","177701","Battlefield",4252
"Spotsylvania","177702","Brent's Mill",4095
"Spotsylvania","177703","Fairview",8879
"Stafford","179101","Hartwood",6185
"Stafford","179102","Rocky Run",6732
"Stafford","179103","Simpson",2757
"Stafford","179104","Ramoth",4723
"Stafford","179201","Rock Hill",4749
"Stafford","179202","Roseville",5843
"Stafford","179203","Ruby",3808
"Stafford","179204","Stefaniga",4950
"Stafford","179301","Griffis",4711
"Stafford","179302","Widewater",8659
"Stafford","179303","Harbor",4193
"Stafford","179401","Aquia",7172
"Stafford","179402","Courthouse",7425
"Stafford","179403","Brooke",7268
"Stafford","179501","Grafton",4759
"Stafford","179502","Falmouth",5667
"Stafford","179503","Drew",3051
"Stafford","179504","Gayle",6755
"Stafford","179601","Ferry Farm",4192
"Stafford","179602","Chatham",5497
"Stafford","179603","White Oak",5420
"Stafford","179701","Woodlands",3984
"Stafford","179702","Whitson",5049
"Stafford","179703","Hampton",5412
"Surry","181101","Surry",1430
"Surry","181201","Bacon's Castle",1443
"Surry","181301","Dendron",684
"Surry","181302","Wall's Bridge",679
"Surry","181401","Carsley",1375
"Surry","181501","Claremont",922
"Surry","181502","Spring Grove",525
"Sussex","183101","Waverly",1562
"Sussex","183201","Stony Creek",1229
"Sussex","183202","Little Mill",378
"Sussex","183301","Courthouse",1193
"Sussex","183302","Wakefield",625
"Sussex","183401","Mars Hill",1219
"Sussex","183402","West Wakefield",196
"Sussex","183501","Henry",1019
"Sussex","183502","Yale",471
"Sussex","183601","Blackwater",1019
"Sussex","183602","Newville",3176
"Tazewell","185101","Abbs Valley",881
"Tazewell","185102","Tip Top",947
"Tazewell","185103","Boissevain",634
"Tazewell","185104","Falls Mills",1257
"Tazewell","185106","Pocahontas",1650
"Tazewell","185107","Amonate",372
"Tazewell","185109","Bishop",583
"Tazewell","185110","Adria",1334
"Tazewell","185111","Gap Store",1036
"Tazewell","185112","Bandy",619
"Tazewell","185203","Burkes Garden",290
"Tazewell","185204","Clear Fork",1182
"Tazewell","185207","Freestone",398
"Tazewell","185209","Jeffersonville",6091
"Tazewell","185214","Thompson Valley",1162
"Tazewell","185301","Cedar Bluff",4752
"Tazewell","185302","Baptist Valley",1019
"Tazewell","185303","Wardell",1756
"Tazewell","185305","Pounding Mill",1268
"Tazewell","185401","Richlands",5868
"Tazewell","185402","Jewell Ridge",580
"Tazewell","185404","Raven",2427
"Tazewell","185501","Springville",2762
"Tazewell","185502","Graham",6210
"Warren","187101","Fork Town",2909
"Warren","187102","Otterburn",2264
"Warren","187103","Waterlick",2020
"Warren","187201","Happy Creek",4874
"Warren","187202","Linden",3447
"Warren","187301","North River",3175
"Warren","187302","Riverton",3076
"Warren","187303","Reliance",863
"Warren","187401","East Shenandoah",5598
"Warren","187402","West Shenandoah",2565
"Warren","187501","South River",4348
"Warren","187502","Bentonville",1379
"Warren","187504","Browntown",1057
"Washington","191101","East Abingdon",5620
"Washington","191102","West Abingdon",3111
"Washington","191201","Clinchburg",1767
"Washington","191202","Greendale",4694
"Washington","191203","Hayter's Gap",1123
"Washington","191301","Watauga",3991
"Washington","191302","South Abingdon",4242
"Washington","191401","Glade Spring",3261
"Washington","191402","Meadowview",4568
"Washington","191501","Rhea Valley",4556
"Washington","191502","Damascus",2508
"Washington","191504","Green Cove",439
"Washington","191601","Burson Place",3566
"Washington","191602","Mendota",764
"Washington","191603","Valley Institute",2903
"Washington","191701","High Point",2599
"Washington","191702","Wallace",1663
"Washington","191703","John Battle",3501
"Westmoreland","193101","Precinct 1-1",2148
"Westmoreland","193102","Precinct 1-2",939
"Westmoreland","193201","Precinct 2-1",3300
"Westmoreland","193301","Precinct 3-1",3676
"Westmoreland","193401","Precinct 4-1",3686
"Westmoreland","193501","Precinct 5-1",3705
"Wise","195101","Appalachia",2825
"Wise","195102","Dorchester",1629
"Wise","195103","Guest River",1596
"Wise","195104","West Pound",3375
"Wise","195201","North Coeburn",2459
"Wise","195202","Wise",5884
"Wise","195203","East Pound",2584
"Wise","195301","Big Stone Gap",6027
"Wise","195302","East Stone Gap",4377
"Wise","195401","Clinch Valley",4280
"Wise","195402","South Coeburn",5000
"Wise","195403","St. Paul",1416
"Wythe","197101","Royal Oak",1259
"Wythe","197102","Rural Retreat",3719
"Wythe","197203","West Wytheville",4640
"Wythe","197303","East Wytheville",5130
"Wythe","197401","Fort Chiswell",2245
"Wythe","197402","Max Meadows",2550
"Wythe","197501","Jackson Memorial",2047
"Wythe","197502","Sheffey",2970
"Wythe","197601","Huddle",1130
"Wythe","197602","Zion",1980
"Wythe","197603","Evergreen",1565
"York","199101","Queens Lake",3061
"York","199102","Yorktown",1987
"York","199103","Waller Mill",3610
"York","199104","Magruder",6083
"York","199203","Coventry",8802
"York","199204","Kiln Creek",3291
"York","199301","Seaford",3669
"York","199302","Harris Grove",4550
"York","199303","Edgehill",5335
"York","199401","Harwoods Mill",5111
"York","199402","Dare",6953
"York","199501","Tabb",3573
"York","199502","Bethel",9439
"Alexandria","510101","Ladley Senior Building",2733
"Alexandria","510102","City Hall",3021
"Alexandria","510103","Lyles Crouch School",3040
"Alexandria","510104","Durant Center",4501
"Alexandria","510105","Lee Center",6840
"Alexandria","510106","Cora Kelley Center",8727
"Alexandria","510107","Mt. Vernon Recreation Center",7516
"Alexandria","510108","George Washington Middle School",3959
"Alexandria","510109","Fire Department Headquarters",5094
"Alexandria","510201","Maury School",3602
"Alexandria","510202","George Mason School",3546
"Alexandria","510203","Agudas Achim Synagogue",3652
"Alexandria","510204","Blessed Sacrament Church",3402
"Alexandria","510205","Douglas Macarthur School",5136
"Alexandria","510206","Chinquapin Park Recreation Center",4550
"Alexandria","510207","Temple Beth El Synagogue",5405
"Alexandria","510208","Nova Arts Center",6471
"Alexandria","510209","James K. Polk School",7182
"Alexandria","510210","St. James Church",2844
"Alexandria","510302","Patrick Henry Rec Center",5072
"Alexandria","510303","Charles E. Beatley Library",5689
"Alexandria","510304","Samuel Tucker School",8854
"Alexandria","510305","John Adams School",9763
"Alexandria","510306","William Ramsey School",9184
"Alexandria","510307","South Port",5351
"Alexandria","510308","Cameron Station Community Center",4832
"Bedford City","515001","Ward One",3226
"Bedford City","515002","Ward Two",2996
"Bristol","520001","Ward 1",3853
"Bristol","520002","Ward 2",4276
"Bristol","520003","Ward 3",4226
"Bristol","520041","Ward 4 Part 1",5480
"Bristol","520042","Ward 4 Part 2",0
"Buena Vista","530001","First Ward",3405
"Buena Vista","530002","Second Ward",3245
"Charlottesville","540101","Recreation",6208
"Charlottesville","540102","Clark",4673
"Charlottesville","540201","Carver",3056
"Charlottesville","540202","Walker",3800
"Charlottesville","540301","Benjamin Tonsler",4575
"Charlottesville","540302","Jefferson Park",6421
"Charlottesville","540401","Venable",9495
"Charlottesville","540402","Alumni Hall Part 2",896
"Charlottesville","540402","Alumni Hall Part 1",4351
"Chesapeake","550001","Great Bridge",5006
"Chesapeake","550002","Bethel",4068
"Chesapeake","550003","Camelot",6479
"Chesapeake","550004","Churchland",3403
"Chesapeake","550005","Crestwood",4095
"Chesapeake","550006","Deep Creek",6138
"Chesapeake","550007","Greenbrier",4018
"Chesapeake","550008","South Norfolk Recreation",4943
"Chesapeake","550009","Bells Mill",5425
"Chesapeake","550010","Oscar Smith School",2449
"Chesapeake","550011","Geneva Park",5490
"Chesapeake","550012","Georgetown",5445
"Chesapeake","550013","Gilmerton",3544
"Chesapeake","550014","Grassfield",978
"Chesapeake","550015","B. M. Williams School",3576
"Chesapeake","550016","Hickory Grove",5536
"Chesapeake","550017","Indian Creek",3780
"Chesapeake","550018","Indian River",4165
"Chesapeake","550019","Jolliff One",2057
"Chesapeake","550020","E. W. Chittum School",3759
"Chesapeake","550021","Fellowship",3090
"Chesapeake","550022","Norfolk Highlands",3001
"Chesapeake","550023","Oak Grove",7400
"Chesapeake","550024","Oaklette",4834
"Chesapeake","550025","St. Julians",970
"Chesapeake","550026","Johnson Park",2758
"Chesapeake","550027","Silverwood",4374
"Chesapeake","550028","Sunray I",418
"Chesapeake","550029","Tanglewood",3198
"Chesapeake","550030","South Norfolk",2116
"Chesapeake","550031","Carver School",5901
"Chesapeake","550032","Providence",5727
"Chesapeake","550033","Westover",2913
"Chesapeake","550034","Hickory Middle School",6625
"Chesapeake","550035","Taylor Road",6590
"Chesapeake","550036","Great Bridge Baptist Church",7079
"Chesapeake","550037","Bridgetown",6061
"Chesapeake","550038","Bailey Creek",2167
"Chesapeake","550039","Lake Drummond",1427
"Chesapeake","550040","River Birch",6839
"Chesapeake","550041","John T. West",5912
"Chesapeake","550042","Parkways",7124
"Chesapeake","550043","Pleasant Crossing",6364
"Chesapeake","550044","Nansemond",2322
"Chesapeake","550045","Sunray Ii",1323
"Chesapeake","550046","Bells Mill Ii",3306
"Chesapeake","550047","Green Sea",3630
"Chesapeake","550048","Joliff Middle School",4862
"Chesapeake","550049","Waterway",5030
"Chesapeake","550050","River Walk",3852
"Chesapeake","550051","Coopers Way",4242
"Chesapeake","550052","Shipyard Road",3544
"Chesapeake","550053","Fairways",2856
"Colonial Heights","570001","First",3080
"Colonial Heights","570002","Second",3289
"Colonial Heights","570003","Third",3193
"Colonial Heights","570004","Fourth",4681
"Colonial Heights","570005","Fifth",3168
"Covington","580101","Precinct 1-1",1289
"Covington","580201","Precinct 2-1",1311
"Covington","580301","Precinct 3-1",1018
"Covington","580401","Precinct 4-1",1174
"Covington","580501","Precinct 5-1",1169
"Danville","590001","Ward One",1177
"Danville","590002","Ward Two",1669
"Danville","590003","Ward Three",1287
"Danville","590004","Ward Four",4971
"Danville","590005","Ward Five",1588
"Danville","590006","Ward Six",1944
"Danville","590007","Ward Seven",3306
"Danville","590008","Ward Eight",2211
"Danville","590009","Ward Nine",2375
"Danville","590010","Ward Ten",2552
"Danville","590011","Ward Eleven",3611
"Danville","590012","Ward Twelve",3286
"Danville","590013","Ward Thirteen",3337
"Danville","590014","Ward Fourteen",615
"Danville","590015","Ward Fifteen",3324
"Danville","590016","Ward Sixteen",3390
"Danville","590017","Ward Seventeen",2412
"Emporia","595101","Precinct 1-1",901
"Emporia","595201","Precinct 2-1",791
"Emporia","595301","Precinct 3-1",789
"Emporia","595401","Precinct 4-1",1004
"Emporia","595501","Precinct 5-1",771
"Emporia","595601","District 6",829
"Emporia","595701","District 7",842
"Fairfax City","600001","One",3715
"Fairfax City","600002","Two",3503
"Fairfax City","600003","Three",4848
"Fairfax City","600004","Four",3476
"Fairfax City","600005","Five",3272
"Fairfax City","600006","Six",3751
"Falls Church","610001","First Ward",3426
"Falls Church","610002","Second Ward",2609
"Falls Church","610003","Third Ward",2000
"Falls Church","610004","Fourth Ward",2394
"Falls Church","610005","Fifth Ward",1903
"Franklin City","620101","Precinct 1-1",1326
"Franklin City","620201","Precinct 2-1",1685
"Franklin City","620301","Precinct 3-1",1308
"Franklin City","620401","Precinct 4-1",1518
"Franklin City","620501","Precinct 5-1",1334
"Franklin City","620601","Precinct 6-1",1411
"Fredericksburg","630101","District 1",8319
"Fredericksburg","630201","District 2",5085
"Fredericksburg","630301","District 3",5494
"Fredericksburg","630401","District 4",2221
"Fredericksburg","630402","District 4-Precinct 2",3167
"Galax","640001","East",3763
"Galax","640002","North",1625
"Galax","640003","South",1654
"Hampton","650101","Aberdeen",3526
"Hampton","650102","Bassette",4164
"Hampton","650103","City Hall",4423
"Hampton","650104","Cooper",7609
"Hampton","650105","East Hampton",5066
"Hampton","650106","Armstrong",4219
"Hampton","650107","Lindsay",3291
"Hampton","650108","Thomas",6956
"Hampton","650109","Phenix",5254
"Hampton","650110","Phoebus",1430
"Hampton","650111","Hampton Library",1518
"Hampton","650112","Smith",6337
"Hampton","650113","Syms",2026
"Hampton","650115","Wythe",2330
"Hampton","650116","Jones",2680
"Hampton","650117","Kecoughtan",4781
"Hampton","650118","Mallory",4998
"Hampton","650201","Booker",5030
"Hampton","650202","Bryan",5385
"Hampton","650203","Burbank",5161
"Hampton","650204","Forrest",4095
"Hampton","650205","Asbury",5988
"Hampton","650208","Kraft",6678
"Hampton","650209","Langley",4760
"Hampton","650210","Machen",7507
"Hampton","650212","Bethel",5348
"Hampton","650213","Phillips",5876
"Hampton","650214","Tucker Capps",6256
"Hampton","650215","Tyler",1764
"Hampton","650216","Sandy Bottom",2980
"Harrisonburg","660101","Northeast",9638
"Harrisonburg","660102","East Central",9364
"Harrisonburg","660103","Southeast",11969
"Harrisonburg","660201","Northwest",8921
"Harrisonburg","660202","Southwest",9022
"Hopewell","670101","Ward 1",3226
"Hopewell","670201","Ward 2",3590
"Hopewell","670301","Ward 3",3047
"Hopewell","670401","Ward 4",3604
"Hopewell","670501","Ward 5",3253
"Hopewell","670601","Ward 6",2929
"Hopewell","670701","Ward 7",2942
"Lexington","678001","Lexington",7042
"Lynchburg","680101","First Ward First Precinct",7491
"Lynchburg","680102","First Ward Second Precinct",3815
"Lynchburg","680103","First Ward Third Precinct",2942
"Lynchburg","680104","First Ward Fourth Precinct",2133
"Lynchburg","680105","First Ward Fifth Precinct",2100
"Lynchburg","680201","Second Ward First Precinct",7596
"Lynchburg","680202","Second Ward Second Precinct",5142
"Lynchburg","680203","Second Ward Third Precinct",2429
"Lynchburg","680301","Third Ward First Precinct",3686
"Lynchburg","680302","Third Ward Second Precinct",2024
"Lynchburg","680303","Third Ward Third Precinct",2987
"Lynchburg","680304","Third Ward Fourth Precinct",9107
"Lynchburg","680305","Third Ward Fifth Precinct",4325
"Lynchburg","680401","Fourth Ward First Precinct",6017
"Lynchburg","680402","Fourth Ward Second Precinct",2379
"Lynchburg","680403","Fourth Ward Third Precinct",6724
"Lynchburg","680404","Fourth Ward Fourth Precinct",4671
"Manassas","683001","Dean",6963
"Manassas","683002","Weems",6941
"Manassas","683003","Metz",6469
"Manassas","683004","Haydon",7755
"Manassas","683005","Baldwin",9693
"Manassas Park","685001","Precinct One",7898
"Manassas Park","685002","Precinct Two",6375
"Martinsville","690001","Precinct 1",1168
"Martinsville","690002","Precinct 2",3130
"Martinsville","690003","Precinct 3",2623
"Martinsville","690004","Precinct 4",3579
"Martinsville","690005","Precinct 5",2572
"Martinsville","690006","Precinct 6",749
"Newport News","700101","Denbigh",6960
"Newport News","700102","Epes",7871
"Newport News","700103","Jenkins",6616
"Newport News","700104","McIntosh",4657
"Newport News","700105","Oyster Point",1277
"Newport News","700106","Reservoir",7636
"Newport News","700107","Richneck",5992
"Newport News","700108","Lee Hall",9812
"Newport News","700109","Windsor",3544
"Newport News","700110","Greenwood",7090
"Newport News","700201","Bland",1396
"Newport News","700202","Boulevard",5234
"Newport News","700203","Charles",5778
"Newport News","700204","Wellesley",4224
"Newport News","700205","Deep Creek",3767
"Newport News","700208","Hidenwood",2068
"Newport News","700209","Hilton",3165
"Newport News","700210","Nelson",5795
"Newport News","700211","Palmer",6213
"Newport News","700212","Riverside",1892
"Newport News","700213","Sanford",1500
"Newport News","700215","Warwick",2678
"Newport News","700216","Yates",2226
"Newport News","700217","Riverview",3221
"Newport News","700218","Kiln Creek",6622
"Newport News","700219","Deer Park",8030
"Newport News","700302","Briarfield",4287
"Newport News","700303","Carver",3307
"Newport News","700304","Chestnut",1807
"Newport News","700305","Downtown",2178
"Newport News","700306","Dunbar",2159
"Newport News","700307","Huntington",1756
"Newport News","700308","Jefferson",2000
"Newport News","700309","Magruder",1690
"Newport News","700310","Marshall",2508
"Newport News","700311","Newmarket",4312
"Newport News","700312","Newsome Park",1328
"Newport News","700313","Reed",3315
"Newport News","700314","River",2342
"Newport News","700315","Sedgefield",3019
"Newport News","700316","South Morrison",4473
"Newport News","700317","Washington",1152
"Newport News","700318","Wilson",1891
"Newport News","700319","Saunders",6350
"Newport News","700320","Watkins",5581
"Norfolk","710101","Granby",6619
"Norfolk","710102","Ocean View School",7480
"Norfolk","710103","Northside",3854
"Norfolk","710104","Titustown Center",7528
"Norfolk","710105","Tucker House",1133
"Norfolk","710106","Zion Grace",27380
"Norfolk","710201","Old Dominion",4669
"Norfolk","710203","Ghent Square",1678
"Norfolk","710204","Immanuel",2583
"Norfolk","710205","Lafayette",1806
"Norfolk","710207","Lambert's Point",3557
"Norfolk","710208","Larchmont Library",1266
"Norfolk","710209","Larchmont Recreation Center",4016
"Norfolk","710210","Maury",3366
"Norfolk","710211","Chrysler Museum",3682
"Norfolk","710212","Park Place",4141
"Norfolk","710213","Taylor Elementary School",4223
"Norfolk","710214","Stuart",4013
"Norfolk","710215","Suburban Park",3379
"Norfolk","710217","Wesley",4968
"Norfolk","710218","Willard",2841
"Norfolk","710301","Ballentine",4798
"Norfolk","710302","Tanner's Creek",3209
"Norfolk","710303","Bowling Park",5155
"Norfolk","710304","Coleman Place School",2914
"Norfolk","710305","Lafayette-Winona",3365
"Norfolk","710306","Lindenwood",2761
"Norfolk","710308","Norview Methodist",3347
"Norfolk","710309","Norview Middle School",4650
"Norfolk","710310","Rosemont",7097
"Norfolk","710311","Sherwood Rec Center",4984
"Norfolk","710312","Sherwood School",2820
"Norfolk","710313","Union Chapel",2209
"Norfolk","710402","Berkley",3271
"Norfolk","710403","Brambleton",4071
"Norfolk","710404","Campostella",4522
"Norfolk","710405","Chesterfield",3567
"Norfolk","710406","Barron Black",3031
"Norfolk","710408","Easton",4638
"Norfolk","710409","Fairlawn",3427
"Norfolk","710411","Hunton Y",3273
"Norfolk","710412","Ingleside",3277
"Norfolk","710413","Poplar Halls",5114
"Norfolk","710414","Young Park",5442
"Norfolk","710415","United Way",4392
"Norfolk","710501","Bayview School",5515
"Norfolk","710503","East Ocean View",5271
"Norfolk","710504","Larrymore",3935
"Norfolk","710505","Little Creek",3090
"Norfolk","710506","Ocean View Center",4703
"Norfolk","710508","Oceanair",3465
"Norfolk","710509","Tarrallton",4609
"Norfolk","710510","Third Presbyterian",4886
"Norfolk","710511","Crossroads",5142
"Norfolk","710512","Azalea Gardens",2671
"Norton","720001","East",3958
"Petersburg","730101","First Ward First Precinct",4985
"Petersburg","730201","Second Ward First Precinct",4952
"Petersburg","730301","Third Ward First Precinct",4926
"Petersburg","730401","Fourth Ward First Precinct",4502
"Petersburg","730501","Fifth Ward First Precinct",4320
"Petersburg","730601","Sixth Ward First Precinct",4232
"Petersburg","730701","Seventh Ward First Precinct",4503
"Poquoson","735001","Central",4097
"Poquoson","735002","Eastern",4299
"Poquoson","735003","Western",3754
"Portsmouth","740001","One",3573
"Portsmouth","740005","Five",2830
"Portsmouth","740007","Seven",2413
"Portsmouth","740009","Nine",3154
"Portsmouth","740010","Ten",2021
"Portsmouth","740011","Eleven",2254
"Portsmouth","740013","Thirteen",2802
"Portsmouth","740014","Fourteen",3125
"Portsmouth","740016","Sixteen",3669
"Portsmouth","740017","Seventeen",4627
"Portsmouth","740019","Nineteen",1839
"Portsmouth","740020","Twenty",2270
"Portsmouth","740021","Twenty-One",1904
"Portsmouth","740022","Twenty-Two",3103
"Portsmouth","740023","Twenty-Three",2802
"Portsmouth","740024","Twenty-Four",2527
"Portsmouth","740025","Twenty-Five",2603
"Portsmouth","740026","Twenty-Six",2544
"Portsmouth","740027","Twenty-Seven",3921
"Portsmouth","740028","Twenty-Eight",3042
"Portsmouth","740029","Twenty-Nine",1698
"Portsmouth","740030","Thirty",2858
"Portsmouth","740031","Thirty-One",4616
"Portsmouth","740032","Thirty-Two",1830
"Portsmouth","740033","Thirty-Three",1771
"Portsmouth","740034","Thirty-Four",2119
"Portsmouth","740035","Thirty-Five",2914
"Portsmouth","740036","Thirty-Six",4933
"Portsmouth","740037","Thirty Seven",4632
"Portsmouth","740038","Thirty Eight",6158
"Portsmouth","740039","Thirty Nine",4983
"Radford","750001","East",9829
"Radford","750002","West One",2955
"Radford","750003","West Two",3624
"Richmond City","760101","101",5226
"Richmond City","760102","102",1536
"Richmond City","760104","104",2352
"Richmond City","760105","105",2216
"Richmond City","760106","106",2378
"Richmond City","760111","111",2014
"Richmond City","760112","112",1594
"Richmond City","760113","113",2631
"Richmond City","760114","114",3388
"Richmond City","760203","203",2002
"Richmond City","760204","204",2980
"Richmond City","760206","206",2797
"Richmond City","760207","207",3182
"Richmond City","760208","208",3252
"Richmond City","760211","211",5295
"Richmond City","760212","212",2700
"Richmond City","760213","213",4345
"Richmond City","760301","301",2299
"Richmond City","760302","302",2087
"Richmond City","760303","303",1505
"Richmond City","760304","304",3062
"Richmond City","760305","305",2270
"Richmond City","760306","306",1813
"Richmond City","760307","307",2161
"Richmond City","760308","308",2245
"Richmond City","760309","309",1788
"Richmond City","760402","402",4048
"Richmond City","760404","404",4700
"Richmond City","760409","409",4051
"Richmond City","760410","410",4593
"Richmond City","760412","412",3104
"Richmond City","760413","413",3308
"Richmond City","760501","501",2561
"Richmond City","760503","503",3518
"Richmond City","760504","504",5086
"Richmond City","760505","505",2793
"Richmond City","760508","508",1541
"Richmond City","760509","509",3692
"Richmond City","760510","510",3456
"Richmond City","760602","602",6046
"Richmond City","760603","603",2408
"Richmond City","760604","604",2501
"Richmond City","760606","606",3177
"Richmond City","760607","607",2176
"Richmond City","760609","609",2140
"Richmond City","760610","610",3633
"Richmond City","760701","701",3872
"Richmond City","760702","702",1604
"Richmond City","760703","703",3315
"Richmond City","760705","705",2011
"Richmond City","760706","706",4574
"Richmond City","760707","707",5662
"Richmond City","760802","802",2692
"Richmond City","760806","806",5989
"Richmond City","760810","810",3659
"Richmond City","760811","811",3985
"Richmond City","760812","812",4629
"Richmond City","760814","814",2773
"Richmond City","760902","902",3662
"Richmond City","760903","903",6486
"Richmond City","760908","908",2592
"Richmond City","760909","909",3085
"Richmond City","760910","910",4184
"Richmond City","760911","911",1790
"Roanoke City","770001","Highland No. 1",3245
"Roanoke City","770002","Highland No. 2",3095
"Roanoke City","770005","Jefferson No. 1",6112
"Roanoke City","770007","Jefferson-Riverdale",4228
"Roanoke City","770008","Jefferson No. 2",1982
"Roanoke City","770009","Tinker",5736
"Roanoke City","770010","Williamson Road No. 1",2703
"Roanoke City","770011","Williamson Road No. 2",1520
"Roanoke City","770012","Williamson Road No. 3",2650
"Roanoke City","770013","Williamson Road No. 4",2014
"Roanoke City","770014","Williamson Road No. 5",3124
"Roanoke City","770015","Williamson Road No. 6",2161
"Roanoke City","770016","Lincoln Terrace",2272
"Roanoke City","770017","Monterey",3757
"Roanoke City","770018","Peters Creek",6011
"Roanoke City","770019","Melrose",2788
"Roanoke City","770020","Eureka Park",2481
"Roanoke City","770021","Villa Heights",4950
"Roanoke City","770022","Washington Heights",6580
"Roanoke City","770023","Westside",2415
"Roanoke City","770024","Raleight Court No. 1",2970
"Roanoke City","770026","Raleigh Court No. 2",2494
"Roanoke City","770027","Raleigh Court No. 3",1969
"Roanoke City","770028","Raleigh Court No. 4",1472
"Roanoke City","770029","Raleigh Court No. 5",1255
"Roanoke City","770030","Wasena",1687
"Roanoke City","770031","Fishburn Park",1968
"Roanoke City","770032","Grandin Court",1689
