Location,TimeFrame,DataFormat,Data
Halifax,2005,Number,35648
Halifax,2006,Number,35598
Halifax,2007,Number,35428
Halifax,2008,Number,35370
Halifax,2009,Number,35258
Halifax,2010,Number,36241
Hampton,2000,Number,146437
Hampton,2001,Number,145236
Hampton,2002,Number,145019
Hampton,2003,Number,145398
Hampton,2004,Number,145259
Hampton,2005,Number,147051
Hampton,2006,Number,146573
Hampton,2007,Number,146398
Hampton,2008,Number,145256
Hampton,2009,Number,144236
Hampton,2010,Number,137436
Hanover,2000,Number,86320
Hanover,2001,Number,88900
Hanover,2002,Number,91494
Hanover,2003,Number,93562
Hanover,2004,Number,95428
Hanover,2005,Number,96473
Hanover,2006,Number,98069
Hanover,2007,Number,98952
Hanover,2008,Number,99583
Hanover,2009,Number,99933
Hanover,2010,Number,99863
Harrisonburg,2000,Number,40468
Harrisonburg,2001,Number,41314
Harrisonburg,2002,Number,42159
Harrisonburg,2003,Number,42134
Harrisonburg,2004,Number,42392
Harrisonburg,2005,Number,42784
Harrisonburg,2006,Number,43654
Harrisonburg,2007,Number,43996
Harrisonburg,2008,Number,44342
Harrisonburg,2009,Number,45137
Harrisonburg,2010,Number,48914
Henrico,2000,Number,262300
Henrico,2001,Number,266031
Henrico,2002,Number,268224
Henrico,2003,Number,271271
Henrico,2004,Number,276196
Henrico,2005,Number,281406
Henrico,2006,Number,285586
Henrico,2007,Number,289755
Henrico,2008,Number,292693
Henrico,2009,Number,296415
Henrico,2010,Number,306935
Henry,2000,Number,57930
Henry,2001,Number,57468
Henry,2002,Number,57103
Henry,2003,Number,56637
Henry,2004,Number,56346
Henry,2005,Number,55840
Henry,2006,Number,55687
Henry,2007,Number,55594
Henry,2008,Number,55392
Henry,2009,Number,54888
Henry,2010,Number,54151
Highland,2000,Number,2536
Highland,2001,Number,2529
Highland,2002,Number,2445
Highland,2003,Number,2478
Highland,2004,Number,2426
Highland,2005,Number,2440
Highland,2006,Number,2450
Highland,2007,Number,2392
Highland,2008,Number,2374
Highland,2009,Number,2338
Highland,2010,Number,2321
Hopewell,2000,Number,22354
Hopewell,2001,Number,22247
Hopewell,2002,Number,22468
Hopewell,2003,Number,22292
Hopewell,2004,Number,22309
Hopewell,2005,Number,22511
