RECORD CONTROL NUMBER,LICENSEE NAME,ABC LICENSE #,PHYSICAL ADDRESS,CITY,STATE,ZIP,CHARGES,NUMBER OF CHARGES,REPEAT ABC OFFENSE?,REGION,DISPOSITION METHOD,VIOLATION DATE,CONTINUANCE?,DATE AVAILABLE TO H & A,DATE HEARD,DECISION DATE,DISPOSITION DATE,SUSPENSION (DAYS), CIVIL PENALTY ($) ,MANDATORY SUSP. W/ CIVIL PENALTY (DAYS),PROBATION (MONTHS),REVOKED (Y/N),DISMISSED (Y/N),OTHER
354,FARMERS MARKET,19109,503 HARPERSVILLE ROAD,NEWPORT NEWS,VA,23601,UAB,1,N,HA,CS,11/22/2011,N,12/6/2011,,,1/3/2012,," $ 2,000.00 ",,,,,
364,KANGAROO EXPRESS #3383,11145,683 J CLYDE MORRIS BLVD.,NEWPORT NEWS,VA,23601,UAB,1,Y,HA,CS,11/22/2011,N,12/5/2011,,,1/3/2012,," $ 2,000.00 ",,,,,
335,RUBY TUESDAY 123,74459,12300 JEFFERSON AVENUE PAT HNY MALL 208,NEWPORT NEWS,VA,23602,UAB,1,N,HA,CS,11/8/2011,N,11/21/2011,,,12/21/2011,," $ 2,000.00 ",,,,,
345,LITTLE JIMMYS PIZZA AND SUBS,61433,24 NEWMARKET SQUARE,NEWPORT NEWS,VA,23605,UAB,1,N,HA,CS,11/11/2011,N,12/1/2011,,,1/3/2012,25,,,,,,
368,THE PONDO CAFÉ AND LOUNGE,43938,5832 JEFFERSON AVENUE,NEWPORT NEWS,VA,23605,UAB,1,N,HA,CS,11/11/2011,N,11/29/2011,,,1/3/2012,," $ 2,000.00 ",,,,,
586,THE CORNER POCKET RESTAURANT,41068,6158 JEFFERSON AVE,NEWPORT NEWS,VA,23605,UAB,1,N,HA,IH,11/11/2011,N,12/19/2011,2/7/2012,4/13/2012,5/16/2012,20," $ 1,750.00 ",,,,,
602,CLASSIC LANES,72654,630 79TH ST,NEWPORT NEWS,VA,23605,UAB,1,N,HA,IH,11/11/2011,Y,1/6/2012,2/29/2012,4/18/2012,5/29/2012,10," $ 1,000.00 ",,,,,
273,FOOD LION #1625,13762,123 NEWMARKET SQUARE,HAMPTON,VA,23605,UAB,1,Y,HA,CS,10/19/2011,N,10/27/2011,,,12/6/2011,," $ 2,000.00 ",,,,,
608,SALSAS MEXICAN RESTAURANT,50671,"704 MARINER ROW, SUITE 110",NEWPORT NEWS,VA,23606,UAB,1,N,HA,CS,4/21/2012,N,5/1/2012,,,5/31/2012,," $ 2,000.00 ",,,,,
128,GREEN CITY MARKET,7286,2001 25TH ST,NEWPORT NEWS,VA,23607,UAB,1,N,HA,IH,5/16/2011,N,5/26/2011,7/14/2011,8/19/2011,9/28/2011,25," $ 2,000.00 ",,,,,
339,7 ELEVEN STORE 2516-20483 B,62061,3314 WEST AVENUE,NEWPORT NEWS,VA,23607,UAB,1,N,HA,CS,11/11/2011,N,11/29/2011,,,12/21/2011,," $ 2,000.00 ",,,,,
454,WARWICK RACEWAY,41921,15684 WARWICK BOULEVARD,NEWPORT NEWS,VA,23608,UAB,1,Y,HA,AH,6/20/2011,Y,6/24/2011,9/22/2011,10/26/2011,2/13/2012,60," $ 5,000.00 ",5,,,,RSVP TRAINING FOR ALL EMPLOYEES WITHIN 6 MOS. OF BD. ORDER.
467,HOP N SHOP,71517,12961 JEFFERSON AVENUE,NEWPORT NEWS,VA,23608,UAB,1,Y,HA,CS,11/11/2011,N,11/21/2011,,,2/16/2012,," $ 2,000.00 ",,,,,
297,GEORGES RESTAURANT,41090,413 WYTHE CREEK ROAD,POQUOSON,VA,23662,UAB,1,N,HA,CS,10/19/2011,N,11/9/2011,,,12/12/2011,," $ 2,000.00 ",,,,,
338,EL RANCHO MEXICAN RESTAURANT,52227,"475 WYTHE CREEK RD, SUITE G1",POQUOSON,VA,23662,UAB,1,N,HA,CS,11/12/2011,N,11/21/2011,,,12/21/2011,," $ 2,000.00 ",,,,,
542,7 ELEVEN STORE 2516 16656H,8950,1574 OLD BUCKROE RD,HAMPTON,VA,23664,UAB,1,N,HA,IH,11/11/2011,N,12/19/2011,2/6/2012,3/13/2012,4/17/2012,25," $ 2,000.00 ",,,,,
434,TERRA RESTAURANT & BAR,67591,2330 MCMENAMIN STREET,HAMPTON,VA,23666,"UAB; FAILURE TO HAVE DESIGNATED MANAGER ON DUTY, EMPLOYED SYLVESTER COOPER, WHO HAS BEEN CONVICTED OF A FELONY OR ANY OFFENSE INVOLVING MORAL TURPITUDE; ADVERTISED ABOUT HAPPY HOUR",4,N,HA,IH,10/19/2011,N,11/2/2011,11/30/2011,12/13/2011,1/26/2012,25," $ 2,500.00 ",,,,Y,CHGS 3-4 DISMISSED
336,RUBY TUESDAY  ,2075,60 TOWN CENTER WAY,HAMPTON,VA,23666,UAB,1,N,HA,CS,11/11/2011,N,11/21/2011,,,12/21/2011,," $ 2,000.00 ",,,,,
337,FOOD LION 1299,9901,3855 KECOUGHTAN ROAD,HAMPTON,VA,23669,UAB,1,N,HA,CS,11/11/2011,N,11/22/2011,,,12/21/2011,," $ 2,000.00 ",,,,,
359,FOX HILL,55874,8 OLD FOX HILL ROAD,HAMPTON,VA,23669,UAB,1,N,HA,CS,11/11/2011,N,11/22/2011,,,1/3/2012,," $ 2,000.00 ",,,,,
631,STINKY'S,68173,5704 GEORGE WASHINGTON MEM HWY,YORKTOWN,VA,23692,UAB,1,N,HA,IH,11/12/2011,Y,12/19/2011,5/1/2012,5/10/2012,6/13/2012,5," $ 1,000.00 ",,,,,
344,PIZZA HUT #4507,55028,"5003 VICTORY BLVD, SUITE B",YORKTOWN,VA,23693,UAB,1,N,HA,CS,11/12/2011,N,11/21/2011,,,1/3/2012,25,,,,,,
570,ONE STOP FOOD MART,9978,3701 TURNPIKE ROAD,PORTSMOUTH,VA,23701,UAB;  LICENSEE FAILED TO HAVE DESIGNATED MANAGER PRESENT AND IN CHARGE OF BUSINESS,2,N,CH,CS,3/6/2012,N,3/14/2012,,,5/3/2012,," $ 2,500.00 ",,,,,
529,CRADOCK AMOCO,26764,4113 GEORGE WASHINGTON HWY.,PORTSMOUTH,VA,23702,UAB,1,N,CH,CS,3/6/2012,N,3/9/2012,,,4/6/2012,," $ 2,000.00 ",,,,,
513,PIZZA HUT #4530,55064,800 LONDON BOULEVARD,PORTSMOUTH,VA,23704,UAB,1,N,CH,CS,3/6/2012,N,3/9/2012,,,3/27/2012,25,,,,,,
402,ADAMS STREET SUPERMARKET,44116,620 S. ADAMS STREET,PETERSBURG,VA,23803,UAB,1,N,RI,OC,11/5/2011,N,11/29/2011,,,1/11/2012,," $ 1,500.00 ",,,,,
147,BLACKSTONE SAVE U TIME,62014,405 N MAIN STREET,BLACKSTONE,VA,23824,UAB,1,N,RI,CS,8/16/2011,N,8/31/2011,,,10/11/2011,," $ 2,000.00 ",,,,,
205,ROADRUNNER QUIK STOP,58425,13900 JEFFERSONDAVIS HIGHWAY,CHESTER,VA,23831,UAB,1,Y,RI,AH,12/21/2010,Y,2/9/2011,6/16/2011,6/30/2011,11/4/2011,15," $ 5,000.00 ",15,,,,
471,IN & OUT CONVENIENT STORE,57600,11936C CENTRE ST,CHESTER,VA,23831,UAB,1,N,RI,IH,7/6/2011,N,11/4/2011,12/14/2011,1/25/2012,2/28/2012,,,,,,Y,
560,OLIVE GARDEN RESTAURANT #1732,51437,600 SOUTHPARK BOULEVARD,COLONIAL HEIGHTS,VA,23834,UAB,1,N,RI,CS,3/12/2012,N,4/4/2012,,,4/30/2012,," $ 2,000.00 ",,,,,
55,7 ELEVEN STORE 2511 16833H,283,100 E. HUNDRED ROAD,CHESTER,VA,23836,UAB,1,Y,RI,OC,4/18/2011,N,5/10/2011,6/15/2011,6/30/2011,7/29/2011,," $ 5,000.00 ",,,,,
366,7-ELEVEN STORE 26645-A,68758,27414 SOUTHAMPTON PARKWAY,COURTLAND,VA,23837,UAB,1,N,HA,CS,10/25/2011,N,11/9/2011,,,1/3/2012,," $ 2,000.00 ",,,,,
453,7 ELEVEN STORE 26645-A,68758,27414 SOUTHAMPTON PARKWAY,COURTLAND,VA,23837,UAB,1,N,HA,CS,10/25/2011,N,11/9/2011,,,2/10/2012,," $ 2,000.00 ",,,,,
201,DINWIDDIE CORNER MARKET,34926,11820 BOYDTON PLANK ROAD,DINWIDDIE,VA,23841,UAB  X 2,2,Y,RI,AH,12/2/2010,Y,11/8/2010,2/9/2011,2/23/2011,11/4/2011,30,"$2,500 ",15,,,,
63,FAS PIC MART,61466,511-C E ATLANTIC STREET,EMPORIA,VA,23847,UAB,1,N,LY,CS,6/2/2011,N,6/30/2011,,,8/1/2011,," $ 2,000.00 ",,,,,
302,DUCK THRU FOOD STORE #5,38867,30001 SMITHS FERRY ROAD,FRANKLIN,VA,23851,UAB,1,N,HA,CS,10/25/2011,N,11/16/2011,,,12/15/2011,," $ 2,000.00 ",,,,,
458,SOUTHERN FOOD STORE 4,43006,700 SOUTH STREET,FRANKLIN,VA,23851,UAB,1,N,HA,OC,10/25/2011,N,11/9/2011,1/4/2012,1/11/2012,2/15/2012,25," $ 2,000.00 ",,,,,
291,KANG MART,50178,5003 OAKLAWN BOULEVARD,HOPEWELL,VA,23860,UAB,1,N,RI,CS,9/16/2011,N,11/8/2011,,,12/12/2011,," $ 2,000.00 ",,,,,
397,LA HACIENDA,54267,601 COLONIAL TRL E.,SURRY,VA,23883,UAB,1,N,HA,IH,5/17/2011,Y,5/27/2011,10/19/2011,12/9/2011,1/18/2012,20," $ 1,750.00 ",,,,,
36,THE BAKERY LLC,35571,218 N MAIN STRET,FARMVILLE,VA,23901,UAB,1,N,LY,CS,6/15/2011,N,6/24/2011,,,7/25/2011,25,,,,,,
254,WORSHAM GROCERY,73600,6309 FARMVILLE ROAD,FARMVILLE,VA,23901,UAB,1,Y,LY,AH,6/15/2011,N,6/30/2011,8/3/2011,9/7/2011,12/1/2011,5," $ 2,500.00 ",5,,,,MART TRAINING FOR MGR. WITHIN 6 MOS. OF BD. ORDER
97,A & A FOOD MART,52499,420 MADISON STREET,BOYDTON,VA,23917,UAB,1,N,LY,CS,7/11/2011,N,8/9/2011,,,9/6/2011,," $ 2,000.00 ",,,,,
140,TRIANGLE GROCERY,59311,PO BOX 159,BOYDTON,VA,23917,UAB,1,N,LY,CS,5/31/2011,N,7/1/2011,,,9/30/2011,," $ 2,000.00 ",,,,,
43,UPPYS IV,3613,3384 HIGHWAY NINE O THREE,BRACEY,VA,23919,UAB,1,Y,LY,CS,5/24/2011,N,7/1/2011,,,7/28/2011,," $ 2,000.00 ",,,,,
19,DELRAYS DINER,49987,11 N MAIN STREET,CHASE CITY,VA,23924,UAB,1,N,LY,CS,5/31/2011,N,7/1/2011,,,7/19/2011,25,,,,,,
590,SHIRLEY'S PLACE,41329,13643 HWY 47,CHASE CITY,VA,23924,UAB,1,N,LY,IH,11/5/2011,N,1/18/2012,2/15/2012,4/13/2012,5/16/2012,25," $ 2,000.00 ",,,,,
340,GREAT WALL RESTAURANT,30611,327 VIRGINIA AVENUE,CLARKSVILLE,VA,23927,UAB,1,N,LY,CS,11/5/2011,N,12/12/2011,,,1/3/2012,25,,,,,,
389,LOS BANDUIDOS RESTAURANT,39826,7331 HIGHWAY FIFTY EIGHT,CLARKSVILLE,VA,23927,UAB,1,N,LY,CS,11/5/2011,N,12/9/2011,,,1/12/2012,," $ 2,000.00 ",,,,,
414,FAST FUEL #2,61759,4959 MAIN STREET,DRAKES BRANCH,VA,23937,UAB,1,N,LY,CS,12/2/2011,N,12/27/2011,,,1/20/2012,," $ 2,000.00 ",,,,,
555,FAST FUEL #2,61759,4959 MAIN STREET,DRAKES BRANCH,VA,23937,UAB,1,Y,LY,OC,1/13/2012,Y,2/7/2012,,,4/30/2012,," $ 3,500.00 ",,,,,
42,GATORS STOP & SHOP,67271,21860 HIGHWAY 49,SKIPWITH,VA,23968,UAB,1,N,LY,CS,5/31/2011,N,6/28/2011,,,7/28/2011,," $ 2,000.00 ",,,,,
387,THE HORSESHOE RESTAURANT,68473,311 WE DANVILLE STREET,SOUTH HILL ,VA,23970,UAB,1,N,LY,CS,11/5/2011,N,12/9/2011,,,1/12/2012,25,,,,,,
658,EZ STOP,49615,827 N MECKLENBURG AVE.,SOUTH HILL,VA,23970,UAB,1,Y,LY,CS,3/15/2012,N,5/22/2012,,,6/25/2012,," $ 2,000.00 ",,,,,
572,HAPPY SHOPPER,78278,"931 GUS W NICKS BOULEVARD, NE",ROANOKE,VA,24012,UAB,1,N,RO,CS,2/23/2012,N,4/10/2012,,,5/3/2012,," $ 2,000.00 ",,,,,
280,TAAZA INDIAN CUISINE,45047,117 DUKE OF GLOUCESTER ST SW,ROANOKE,VA,24014,UAB,1,N,RO,CS,10/26/811,N,11/3/2011,,,12/8/2011,," $ 2,000.00 ",,,,,
307,THE FRESH MARKET,40546,2207 COLONIAL AVENUE SW,ROANOKE,VA,24015,UAB,1,Y,RO,CS,10/3/2011,N,11/8/2011,,,12/15/2011,," $ 2,000.00 ",,,,,
212,GETTY MART,78269,3842 SHENANDOAH AVE,ROANOKE,VA,24017,UAB,1,Y,RO,IH,6/9/2011,N,8/3/2011,9/22/2011,10/5/2011,11/15/2011,30," $ 3,000.00 ",10,,,,
233,JACKS SHOP IN,50486,1825 MELROSE AVENUE NW,ROANOKE,VA,24017,UAB,1,N,RO,CS,9/8/2011,N,10/12/2011,,,11/21/2011,," $ 2,000.00 ",,,,,
352,THE SHERATON HOTEL & CONFERENCE CENTER,40691,2801 HERSHBERGER RD. NW,ROANOKE,VA,24017,UAB,1,N,RO,CS,10/25/2011,N,11/29/2011,,,1/3/2012,," $ 1,000.00 ",,,,,FIRST TO BE GRANTED REDUCTION IN PENALTY
221,FOOD LION 210,9639,4267 STARKEY ROAD SW,ROANOKE,VA,24018,UAB,1,N,RO,CS,9/8/2011,N,9/12/2011,,,11/15/2011,," $ 2,000.00 ",,,,,
271,WILDWOOD SMOKEHOUSE,2155,2041 ELECTRIC ROAD,ROANOKE,VA,24018,UAB,1,Y,RO,CS,10/3/2011,N,11/3/2011,,,12/6/2011,," $ 2,000.00 ",,,,,
295,EL RANCHO VIEJO MEXICAN RESTAURANT,28215,4065-B ELECTRIC ROAD,ROANOKE,VA,24018,UAB; FAIL TO HAVE DESIGNATED MANAGER PRESENT AND IN ACTUAL CHARGE,2,N,RO,CS,9/8/2011,N,11/9/2011,,,12/12/2011,," $ 2,500.00 ",,,,,
215,ORANGE MARKET 3,44104,1823 THOMPSON MEMORIAL DRIVE,ROANOKE,VA,24019,UAB,1,N,RO,CS,9/8/2011,N,10/12/2011,,,11/15/2011,," $ 2,000.00 ",,,,,
508,604 MINUTE MARKET,69046,5981 CLOVERDALE ROAD,ROANOKE,VA,24019,UAB,1,N,RO,CS,2/9/2012,N,2/27/2012,,,3/21/2012,," $ 2,000.00 ",,,,,
547,WATUSYS RESTAURANT & LOUNGE,54797,7512 WILLIAMSON RD,ROANOKE,VA,24019,UAB,1,N,RO,IH,9/9/2011,Y,11/17/2011,1/25/2012,3/8/2012,4/17/2012,,,,,,Y,
589,SCHOONERS,41441,7226 WILLIAMSON RD,ROANOKE,VA,24019,UAB,1,N,RO,IH,9/9/2011,N,2/14/2012,4/4/2012,4/12/2012,5/16/2012,,,,,,Y,
284,HILTON GARDEN INN BLACKSBURG,61297,900 PLANTATION ROAD,BLACKSBURG,VA,24060,UAB,1,N,RO,CS,9/28/2011,N,11/8/2011,,,12/8/2011,," $ 2,000.00 ",,,,,
296,FAST EXPRESS,69293,2701 PRICES FORK ROAD,BLACKSBURG,VA,24060,UAB,1,N,RO,CS,9/28/2011,N,11/8/2011,,,12/12/2011,," $ 2,000.00 ",,,,,
517,RANGELEY 102 MINI MARKET AND DELI,42956,1715 DILLIONS FORK RD,FIELDALE,VA,24089,UAB,1,N,RO,IH,10/24/2011,N,12/30/2011,1/25/2012,2/27/2012,3/29/2012,10,"$1,000.00",,,,,
257,OLD MILL GROCERY,16583,901 BOTETOURT ROAD,FINCASTLE,VA,24090,UAB,1,Y,RO,CS,10/3/2011,N,10/12/2011,,,12/1/2011,," $ 2,000.00 ",,,,,
367,COMMUNITY MARKET INC 2,76043,314 FAYETTE STREET,MARTINSVILLE,VA,24112,UAB,1,Y,RO,CS,10/24/2011,N,11/3/2011,,,1/3/2012,," $ 2,000.00 ",,,,,
497,ANNAS RESTAURANT,42447,100 MONROE STREET,NARROWS,VA,24124,UAB,1,N,SW,CS,2/7/2012,N,2/15/2012,,,3/20/2012,25,,,,,,
503,ALEJANDROS MEXICAN GRILL,78395,1501 TYLER AVENUE,RADFPRD,VA,24141,UAB,1,N,SW,CS,2/7/2012,N,2/21/2012,,,3/21/2012,," $ 2,000.00 ",,,,,
69,VB MART,45691,403 VIRGINIA AVENUE,RICH CREEK,VA,24147,UAB,1,Y,SW,OC,6/7/2011,N,6/21/2011,,,8/2/2011,30,,,,,,
232,ROYAL PANTRY,51106,5781 GREENSBORO ROAD,RIDGEWAY,VA,24148,UAB,1,N,RO,CS,8/26/2011,N,10/13/2011,,,11/21/2011,," $ 2,000.00 ",,,,,
514,A E I FOOD STORES,74499,20430 VIRGIL H GOODE HIGHWAY,ROCKY MOUNT,VA,24151,UAB,1,N,RO,CS,2/8/2012,N,2/27/2012,,,3/27/2012,," $ 2,000.00 ",,,,,
167,HANGING ROCK GOLF CLUB,54337,1500 RED LANE EXT,SALEM,VA,24153,UAB,1,Y,RO,CS,9/16/2011,N,9/30/2011,,,10/25/2011,25,,,,,,
208,CRAIG AVENUE SUPERETTE,19359,700 CRAIG AVENUE,SALEM,VA,24153,UAB,1,N,RO,OC,9/1/2011,N,9/28/2011,,,11/10/2011,," $ 1,500.00 ",,,,,
256,COUNTY LINE FOOD AND TOBACCO,67896,3324 W MAIN STREET,SALEM,VA,24153,UAB,1,N,RO,CS,10/3/2011,N,11/1/2011,,,12/1/2011,25,,,,,,
268,SALEM PIZZA & SUBS INC,52376,115 E MAIN STREET,SALEM,VA,24153,UAB,1,N,RO,CS,9/15/811,N,11/17/2011,,,12/6/2011,25,,,,,,
404,BLUE APRON RESTAURANT & RED ROOSTER BAR,65314,210 E. MAIN STREET,SALEM,VA,24153,UAB,1,N,RO,OC,9/15/2011,N,11/15/2011,,,1/11/2012,," $ 1,500.00 ",,,,,
612,QUICK WAY #3,52331,50 THOMPSON MEMORIAL DR,SALEM,VA,24153,UAB,1,N,RO,IH,2/16/2012,Y,3/6/2012,4/3/2012,4/27/2012,6/4/2012,30," $ 3,000.00 ",10,,,,
456,STARTERS SPORTS BAR & GRILL,62537,928 SOUTH COLORADO ST,SALEM,VA,24153,UAB;ALLOWED INTOXICATED TO LOITER; ALLOWED BEER DISPENSED FOR ON PREMIISES CONSUMPTION TO BE REMOVED FROM AUTHORIZED AREAS; ALLOWED ALCOHOLIC BEVERAGES TO BE REMOVED FROM THE PREMISES,4,Y,RO,IH,8/31/2011,N,9/23/2011,11/15/2011,1/6/2012,2/15/2012,7," $ 1,000.00 ",,,,Y,CHGS. 1 & 2 DISMISSED
173,FOOD LION 1679,10678,2012 LEE HWY,BRISTOL,VA,24201,UAB,1,Y,SW,OC,8/24/2011,Y,8/26/2011,,,10/26/2011,," $ 5,000.00 ",,,,,
230,CAFÉ TWIST,67832,510 GATE CITY HIGHWAY,BRISTON,VA,24201,UAB,1,N,SW,CS,8/24/2011,N,8/29/2011,,,11/21/2011,," $ 2,000.00 ",,,,,
409,BURGER BAR,65102,8 PIEDMONT AVENUE,BRISTOL,VA,24201,UAB,1,N,SW,OC,11/16/2011,N,12/9/2011,,,1/11/2012,25,,,,,,
118,CHILIS GRILL & BAR,29540,3108 LEE HIGHWAY,BRISTOL,VA,24202,UAB,1,N,SW,CS,8/24/2011,N,8/26/2011,,,9/23/2011,," $ 2,000.00 ",,,,,
519,TANGS GARDEN BUFFET,67699,3122 LEE HIGHWAY,BRISTOL,VA,24202,UAB,1,N,SW,CS,2/8/2012,N,2/21/2012,,,4/3/2012,25,,,,,,
671,FIGAREDO'S,64326,309 FALLS DRIVE,ABINGDON,VA,24210,UAB,1,N,SW,AH,11/1/2011,Y,12/19/2011,2/8/2012,2/16/2012,6/29/2012,,"$1,500.00 ",,,,,
196,FOOD LION 2500,11681,845 VILLAGE BOULEVARD,ABINGDON,VA,24210,UAB,1,N,SW,CS,9/14/2011,N,9/28/2011,,,11/4/2011,," $ 2,000.00 ",,,,,
498,BULLYS MARKET,53256,1034 W MAIN STREET,ABINGDON,VA,24210,UAB,1,N,SW,CS,2/15/2012,N,3/1/2012,,,3/20/2012,," $ 2,000.00 ",,,,,
573,5 MART 1,68874,863 W MAIN STREET,ABINGDON,VA,24210,UAB,1,N,SW,CS,2/15/2012,N,4/6/2012,,,5/3/2012,," $ 2,000.00 ",,,,,
582,ROADRUNNER MARKET 186,62159,191 JONESBORO ROAD,ABINGDON,VA,24210,UAB,1,N,SW,CS,2/29/2012,N,4/16/2012,,,5/16/2012,," $ 2,000.00 ",,,,,
282,ROADRUNNER MARKET 195,64294,15785 PORTERFIELD HIGHWAY,ABINGTON,VA,24210,UAB & LICENSEE PERMITTED BRITTANY TANNER TO BE IN CHARGE OF BUSINESS AND FAILED TO KEEP HER NAME POSTED DURINT THIS TIME.,2,N,SW,CS,11/1/2011,N,11/14/2011,,,12/8/2011,," $ 2,500.00 ",,,,,
275,WILD FLOUR BAKERY,26246,24443 LEE HWY,ABINGDON,VA,24211,UAB; FAIL TO HAVE DESIGNATED MANAGER PRESENT AND IN ACTUAL CHARGE,2,N,SW,IH,6/22/2011,N,7/20/2011,9/30/2011,11/4/2011,12/6/2011,25," $ 2,000.00 ",,,,Y,CHARGE 2 DISMISSED
480,TRIPLE T 11,75912,PO BOX 386,NORA,VA,24272,UAB,1,N,SW,CS,11/29/2011,N,2/6/2012,,,3/7/2012,," $ 2,000.00 ",,,,,
563,CARRIAGE HOUSE SALOON,64435,121 KANAWHA RIDGE RD,DUGSPUR,VA,24325,UAB;LICENSEE ALLOWED PROHIBITED CONDUCT UPON THE PREMISES; PERMITTED CONSUMPTION OF ALCOHOLIC BEVERAGES UPON LICENSED PREMISES,3,N,SW,IH,9/17/2011,N,11/9/2011,2/8/2012,3/26/2012,5/1/2012,30," $ 2,500.00 ",,,,Y,CHG 3 DISMISSED
459,KANGAROO EXPRESS #3376,9274,7115 CHANCES CREEK ROAD,FANCY GAP,VA,24328,UAB,1,Y,SW,OC,11/10/2011,Y,11/17/2011,,,2/15/2012,," $ 3,500.00 ",,,,,MGR. TO ATTEND MART
479,BLUE RIDGE TRADING CO,50753,1946 IVANHOE ROAD,FRIES,VA,24330,UAB,1,N,SW,CS,1/31/2012,N,2/6/2012,,,2/29/2012,," $ 2,000.00 ",,,,,
244,EL TORITO MEXICAN RESTAURANT,68060,528 E STUART DR,GALAX,VA,24333,UAB,1,N,SW,IH,6/22/2011,Y,7/25/2011,9/30/2011,10/21/2011,11/22/2011,25," $ 2,000.00 ",,,,,
670,ON THE RUN 108,50662,26 AIRPORT ROAD,HILLSVILLE,VA,24343,UAB,1,Y,SW,CS,5/31/2012,N,6/9/2012,,,6/29/2012,," $ 2,000.00 ",,,,,
516,HILLSVILLE FAMILY MART,26497,206 W STUART DR,HILLSVILLE,VA,24343,UAB,1,N,SW,IH,10/4/2011,Y,11/14/2011,2/9/2012,2/23/2012,3/28/2012,20," $ 1,500.00 ",,,,,
20,THE RESTYAURANT AT HUNGRY MOTHER STATE PARK,3647,203 E HUNGRY MOTHER DRIVE,MARION,VA,24354,UAB,1,N,SW,CS,6/7/2011,N,6/15/2011,,,7/19/2011,25,,,,,,
505,CARGO OIL COMPANY INC,6121,758 N MAIN STREET,MARION,VA,24354,UAB,1,N,SW,CS,2/8/2012,N,2/14/2012,,,3/21/2012,," $ 2,000.00 ",,,,,
8,HILLTOP CARRYOUT INC,31873,535 N MAIN STREET,RURAL RETREAT,VA,24368,UAB,1,Y,SO,CS,6/7/2011,N,6/15/2011,,,7/11/2011,," $ 2,000.00 ",,,,,
525,FOOD COUNTRY USA 12,73754,576 N MAIN ST,RURAL RETREAT,VA,24368,UAB,1,N,SW,IH,11/15/2011,N,12/15/2011,2/9/2012,2/29/2012,4/3/2012,,,,,,Y,
538,EXIT 54 EXXON,62957,7327 LEE HWY,RURAL RETREAT,VA,24368,UAB; LICENSEE WAS INTOXICATED UPON THE LICENSED PREMISES,2,N,SW,IH,11/2/2011,Y,11/18/2011,3/8/2012,3/13/2012,4/17/2012,40," $ 4,000.00 ",17,,,,
506,CARGO OIL COMPANY,39403,22*9 PALMER AVENUE,SALTVILLE,VA,24370,UAB,1,Y,SW,CS,2/8/2012,N,2/14/2012,,,3/21/2012,," $ 2,000.00 ",,,,,
360,DILLIONS IGA,64758,395 N 4TH STREET,WYTHEVILLE,VA,24382,UAB,1,N,SW,CS,11/2/2011,N,11/14/2011,,,1/3/2012,," $ 2,000.00 ",,,,,
164,STOP IN FOOD STORES #152,41910,1210 CHURCHVILLE AVENUE,STAUNTON,VA,24401,UAB,1,N,ST,CS,9/21/2011,N,9/28/2011,,,10/19/2011,25,,,,,,
234,ROYAL MART #4,41040,800 SPRING HILL ROAD,STAUNTON,VA,24401,UAB,1,Y,ST,CS,10/21/2011,N,10/25/2011,,,11/21/2011,," $ 2,000.00 ",,,,,
191,JOY FOOD STORE 868,44433,524 W 29TH STREET,BUENA VISTA,VA,24416,UAB,1,N,RO,CS,9/23/2011,N,10/11/2011,,,11/4/2011,," $ 2,000.00 ",,,,,
259,HERBYS,46376,309 3RD STREET,GROTTOES,VA,24441,UAB,1,N,ST,CS,10/19/2011,N,10/27/2011,,,12/1/2011,," $ 2,000.00 ",,,,,
222,THE RUSTY HINGE,64844,519 MARKET AVENUE,IRON GATE,VA,24448,UAB,1,N,RO,CS,10/3/2011,N,10/12/2011,,,11/15/2011,," $ 2,000.00 ",,,,,
571,SOUTHERN INN RESTAURANT,2461,37 S MAIN STREET,LEXINGTON,VA,24450,UAB,1,N,RO,CS,3/7/2012,N,4/9/2012,,,5/3/2012,," $ 2,000.00 ",,,,,
616,VIRGINIA BORN AND BRED,59066,16 W WASHINGTON ST,LEXINGTON,VA,24450,UAB,1,N,RO,OC,3/7/2012,N,3/27/2012,,,6/1/2012,15,,,,,,
192,FAST BREAK,70137,16 W MAIN STREET,MONTERY,VA,24465,UAB,1,Y,RO,CS,9/26/2011,N,10/11/2011,,,11/4/2011,," $ 2,000.00 ",,,,,
104,FOOD LION 2579,32852,13955 WARDS ROAD,LYNCHBURG,VA,24501,UAB,1,Y,LY,OC,6/14/2011,Y,7/1/2011,,,9/7/2011,," $ 5,000.00 ",,,,,
451,QUIK E FOOD STORE,25799,6015 FORT AVENUE,LYNCHBURG,VA,24502,UAB,1,Y,LY,IH,10/13/2011,N,10/31/2011,12/1/2011,1/20/2012,2/9/2012,60," $ 5,000.00 ",15,,,,
54,APPLE MARKET #3210,43410,102 PAULETTE CIRCLE,LYNCHBURG,VA,24502,UAB,1,Y,LY,OC,3/3/2011,N,3/11/2011,5/16/2011,6/1/2011,7/22/2011,," $ 5,000.00 ",,,,,
123,KOTO JAPANESE STEAK & SEAFOOD,65838,2160 WARDS ROAD,LYNCHBURG,VA,24502,UAB,1,N,LY,CS,6/28/2011,N,8/15/2011,,,9/28/2011,," $ 2,000.00 ",,,,,
448,QUICK E FOOD STORES,33439,8217 TIMBERLAKE ROAD,LYNCHBURG,VA,24502,UAB,1,N,LY,CS,12/29/2011,N,1/11/2012,,,2/7/2012,," $ 2,000.00 ",,,,,
