fips,ctystate,st_abbr,year,landsqmi,airport,bus,care,communication,dams,electric,emergency,fire,hazmat,hwybridge,oil,police,port,potable,railfacil,railbridge,school,wastewater
60050,"Western District, AS",AS,2011,28.87,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
66010,"Guam, GU",GU,2011,212,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
69085,"Northern Islands, MP",MP,2011,60.05,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
69100,"Rota, MP",MP,2011,32.97,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
69110,"Saipan, MP",MP,2011,44.55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
69120,"Tinian, MP",MP,2011,39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
72003,"Aguada, PR",PR,2011,30.85,NULL,NULL,1,12,NULL,NULL,NULL,NULL,NULL,20,NULL,1,NULL,NULL,NULL,NULL,31,2
72005,"Aguadilla, PR",PR,2011,36.53,1,NULL,5,1,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,1,NULL,NULL,50,2
72011,"Anasco, PR",PR,2011,39.29,NULL,NULL,1,1,2,NULL,NULL,NULL,NULL,21,NULL,1,NULL,1,NULL,NULL,18,NULL
72013,"Arecibo, PR",PR,2011,125.95,NULL,NULL,9,6,1,1,NULL,NULL,28,93,NULL,NULL,NULL,4,NULL,NULL,65,1
72015,"Arroyo, PR",PR,2011,15.01,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,1,NULL,NULL,NULL,NULL,11,NULL
72017,"Barceloneta, PR",PR,2011,18.69,NULL,NULL,3,1,NULL,NULL,NULL,NULL,36,18,NULL,NULL,NULL,NULL,NULL,NULL,10,2
72021,"Bayamon, PR",PR,2011,44.32,NULL,1,15,2,NULL,NULL,NULL,NULL,40,73,1,3,NULL,NULL,NULL,NULL,131,NULL
72023,"Cabo Rojo, PR",PR,2011,70.37,NULL,NULL,2,3,NULL,NULL,NULL,NULL,3,21,NULL,1,NULL,NULL,NULL,NULL,23,2
72027,"Camuy, PR",PR,2011,46.35,NULL,NULL,1,3,NULL,NULL,NULL,NULL,2,9,NULL,1,NULL,NULL,NULL,NULL,15,2
72031,"Carolina, PR",PR,2011,45.32,1,4,7,2,NULL,NULL,NULL,2,11,56,NULL,4,NULL,NULL,NULL,NULL,30,NULL
72033,"Catano, PR",PR,2011,4.84,NULL,1,2,1,NULL,NULL,NULL,NULL,1,9,NULL,2,NULL,NULL,NULL,NULL,14,NULL
72037,"Ceiba, PR",PR,2011,29.04,NULL,NULL,1,1,NULL,1,NULL,NULL,2,32,NULL,1,NULL,NULL,NULL,NULL,7,2
72049,"Culebra, PR",PR,2011,11.62,NULL,NULL,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
72051,"Dorado, PR",PR,2011,23.09,NULL,NULL,1,NULL,NULL,1,NULL,NULL,1,27,NULL,1,NULL,NULL,NULL,NULL,15,1
72053,"Fajardo, PR",PR,2011,29.86,NULL,NULL,5,1,NULL,NULL,NULL,NULL,2,22,NULL,1,NULL,3,NULL,NULL,22,2
72055,"Guanica, PR",PR,2011,37.05,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,30,NULL,1,NULL,NULL,NULL,NULL,19,NULL
72057,"Guayama, PR",PR,2011,64.99,NULL,NULL,4,2,2,1,NULL,NULL,31,30,1,2,NULL,2,NULL,NULL,38,1
72059,"Guayanilla, PR",PR,2011,42.27,NULL,NULL,1,1,NULL,1,NULL,1,NULL,43,NULL,1,NULL,1,NULL,NULL,16,1
72061,"Guaynabo, PR",PR,2011,27.58,NULL,1,3,16,NULL,NULL,NULL,1,10,45,NULL,2,NULL,NULL,NULL,NULL,41,NULL
72065,"Hatillo, PR",PR,2011,41.78,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,1,NULL,1,NULL,NULL,20,NULL
72069,"Humacao, PR",PR,2011,44.75,NULL,NULL,7,1,NULL,1,NULL,NULL,29,76,NULL,1,NULL,1,NULL,NULL,40,2
72071,"Isabela, PR",PR,2011,55.3,NULL,NULL,1,2,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,1,NULL,NULL,25,1
72075,"Juana Diaz, PR",PR,2011,60.28,NULL,NULL,1,1,1,NULL,NULL,NULL,NULL,67,NULL,NULL,NULL,1,NULL,NULL,28,1
72079,"Lajas, PR",PR,2011,59.95,NULL,NULL,1,1,NULL,NULL,NULL,NULL,NULL,5,NULL,1,NULL,1,NULL,NULL,15,3
72087,"Loiza, PR",PR,2011,19.37,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,2,NULL,NULL,NULL,NULL,13,3
72089,"Luquillo, PR",PR,2011,25.81,NULL,NULL,1,1,NULL,NULL,NULL,NULL,1,21,NULL,1,NULL,NULL,NULL,NULL,13,1
72091,"Manati, PR",PR,2011,45.13,NULL,NULL,7,1,NULL,NULL,NULL,NULL,54,18,NULL,2,NULL,NULL,NULL,NULL,33,1
72095,"Maunabo, PR",PR,2011,21.07,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,9,3
72097,"Mayaquez, PR",PR,2011,77.65,1,NULL,15,8,NULL,2,NULL,NULL,12,40,NULL,1,NULL,2,NULL,NULL,57,5
72103,"Naguabo, PR",PR,2011,51.66,NULL,NULL,1,1,1,1,NULL,NULL,NULL,62,NULL,1,NULL,2,NULL,NULL,18,1
72109,"Patillas, PR",PR,2011,46.7,NULL,NULL,1,1,1,NULL,NULL,NULL,5,30,NULL,NULL,NULL,2,NULL,NULL,17,2
72111,"Penuelas, PR",PR,2011,44.62,NULL,NULL,1,5,NULL,2,NULL,NULL,14,27,4,1,NULL,3,NULL,NULL,17,2
72113,"Ponce, PR",PR,2011,114.76,1,NULL,20,10,5,NULL,NULL,NULL,6,111,NULL,4,NULL,7,NULL,NULL,140,NULL
72115,"Quebradillas, PR",PR,2011,22.68,NULL,NULL,1,NULL,1,NULL,NULL,NULL,NULL,3,NULL,1,NULL,NULL,NULL,NULL,11,1
72117,"Rincon, PR",PR,2011,14.29,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,8,NULL,1,NULL,NULL,NULL,NULL,7,1
72119,"Rio Grande, PR",PR,2011,60.62,NULL,NULL,1,6,NULL,NULL,NULL,NULL,NULL,35,NULL,2,NULL,2,NULL,NULL,26,6
72123,"Salinas, PR",PR,2011,69.37,NULL,NULL,1,1,NULL,1,NULL,NULL,6,48,NULL,NULL,NULL,1,NULL,NULL,20,1
72127,"San Juan, PR",PR,2011,47.85,1,5,61,14,1,1,NULL,NULL,18,188,NULL,25,NULL,NULL,NULL,NULL,236,NULL
72133,"Santa Isabel, PR",PR,2011,34.02,NULL,NULL,1,NULL,1,NULL,NULL,NULL,1,17,NULL,1,NULL,NULL,NULL,NULL,11,1
72137,"Toa Baja, PR",PR,2011,23.24,NULL,NULL,2,1,NULL,1,NULL,NULL,4,26,NULL,1,NULL,NULL,NULL,NULL,33,NULL
72143,"Vega Alta, PR",PR,2011,27.73,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,4,28,NULL,1,NULL,NULL,NULL,NULL,19,2
72145,"Vega Baja, PR",PR,2011,45.86,NULL,NULL,3,1,NULL,1,NULL,NULL,3,33,NULL,NULL,NULL,1,NULL,NULL,33,1
72147,"Vieques, PR",PR,2011,50.77,1,NULL,1,1,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
72151,"Yabucoa, PR",PR,2011,55.21,NULL,NULL,1,1,NULL,NULL,NULL,NULL,13,43,1,NULL,NULL,2,NULL,NULL,24,NULL
72153,"Yauco, PR",PR,2011,68.19,NULL,NULL,3,1,2,NULL,NULL,NULL,NULL,38,NULL,NULL,NULL,3,NULL,NULL,37,1
78010,"St. Croix, VI",VI,2011,82.88,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
78020,"St. John, VI",VI,2011,19.61,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
78030,"St. Thomas, VI",VI,2011,80.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
